iter	Passed	Remaining
880	2174	293
881	2176	291
882	2179	288
883	2181	286
884	2184	283
885	2186	281
886	2189	278
887	2192	276
888	2194	274
889	2197	271
890	2199	269
891	2202	266
892	2204	264
893	2207	261
894	2209	259
895	2212	256
896	2214	254
897	2217	251
898	2219	249
899	2222	246
900	2224	244
901	2227	241
902	2229	239
903	2232	237
904	2234	234
905	2237	232
906	2239	229
907	2242	227
908	2244	224
909	2247	222
910	2249	219
911	2252	217
912	2254	214
913	2257	212
914	2259	209
915	2262	207
916	2264	204
917	2267	202
918	2269	200
919	2272	197
920	2274	195
921	2277	192
922	2279	190
923	2282	187
924	2284	185
925	2287	182
926	2289	180
927	2292	177
928	2294	175
929	2297	172
930	2299	170
931	2302	167
932	2304	165
933	2307	163
934	2309	160
935	2311	158
936	2313	155
937	2316	153
938	2318	150
939	2321	148
940	2323	145
941	2325	143
942	2328	140
943	2330	138
944	2333	135
945	2335	133
946	2337	130
947	2340	128
948	2342	125
949	2344	123
950	2347	120
951	2349	118
952	2352	115
953	2354	113
954	2356	111
955	2359	108
956	2361	106
957	2364	103
958	2366	101
959	2369	98
960	2371	96
961	2374	93
962	2376	91
963	2379	88
964	2381	86
965	2384	83
966	2386	81
967	2388	78
968	2391	76
969	2394	74
970	2396	71
971	2398	69
972	2401	66
973	2403	64
974	2406	61
975	2409	59
976	2411	56
977	2414	54
978	2416	51
979	2419	49
980	2421	46
981	2424	44
982	2426	41
983	2428	39
984	2431	37
985	2433	34
986	2436	32
987	2439	29
988	2442	27
989	2444	24
990	2447	22
991	2449	19
992	2452	17
993	2455	14
994	2457	12
995	2460	9
996	2462	7
997	2465	4
998	2466	2
999	2469	0
